SKU,Descripción,Precio
001AGAVE,"Popote café 21 cm Agave estuchado CAJA 2,000 Pzas. AG*1",0
001AGAVEP,Popote café 21 cm Agave estuchado PQTE 500 Pzas. AG*1,0
002AGAVE,Bolsa camiseta Agave Vitabag Chica 25x15x41 cm CAJA 10 KG AG*5,0
002AGAVEP,Bolsa camiseta Agave Vitabag Chica 25x41x7.5cm PQTE 1 KG AG*5,0
004AGAVE,Bolsa camiseta Agave Vitabag Grande 30x20x61 cm CAJA 10 KG. AG*5,0
004AGAVEP,Bolsa camiseta Agave Vitabag Grande 30x61x10 cm PQTE 1 KG AG*5,0
003AGAVE,Bolsa camiseta Agave Vitabag Mediana 25x15x51 cm CAJA 10 KG. AG*5,0
003AGAVEP,Bolsa camiseta Agave Vitabag Mediana 25x51x7.5cm PQTE 1 KG AG*5,0
004.1BAMBUPLA,Contenedor redondo 26 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,0
004.1BAMBUPLAP,Contenedor redondo 26 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,0
005.1BAMBUPLA,Contenedor redondo 35 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,0
005.1BAMBUPLAP,Contenedor redondo 35 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,0
005.2BAMBUPLA,Contenedor redondo 46 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,0
005.2BAMBUPLAP,Contenedor redondo 46 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,0
002BAMBUPLA,"Contenedor térmico 8 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",0
003.0BAMBUPLA,"Contenedor térmico 12 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",0
003.0BAMBUPLAP,Contenedor térmico 12 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,0
003.1BAMBUPLA,Contenedor térmico 16 oz beige compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,0
003.1BAMBUPLAP,Contenedor térmico 16 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,0
004.0BAMBUPLA,Contenedor térmico 21 oz beige (sopero 1/2 lt) compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,0
004.0BAMBUPLAP,Contenedor térmico 21 oz beige (sopero 1/2 lt) compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,0
005.0BAMBUPLA,Contenedor térmico 32 oz beige (sopero 1 lt) compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,0
005.0BAMBUPLAP,Contenedor térmico 32 oz beige (sopero 1 lt) compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,0
001BAMBUPLA,"Contenedor térmico 5 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",0
001BAMBUPLAP,Contenedor térmico 5 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,0
002BAMBUPLAP,Contenedor térmico 8 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,0
005.3BAMBUPLA,Tapa contenedor térmico 16 oz beige compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,0
005.3BAMBUPLAP,Tapa contenedor térmico 16 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,0
006BAMBUPLA,Tapa contenedor térmico 21/32 oz beige (sopero) compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,0
006BAMBUPLAP,Tapa contenedor térmico 21/32 oz beige (sopero) compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,0
013BAMBUPLA,"Tapa cafetera blanca vaso 10/12/16/20 oz compostable Caña Azúcar CAJA 1,000 Pzas. CA*2",0
012BAMBUPLA,"Tapa cafetera blanca vaso 8 oz compostable Caña Azúcar CAJA 1,000 Pzas. CA*2",0
012BAMBUPLAP,Tapa cafetera blanca vaso 8 oz compostable Caña Azúcar PQTE 50 Pzas. CA*2,0
014BAMBUPLA,"Tapa plana c/agujero blanca vaso 10/12/16/20 oz compostable Caña Azúcar CAJA 1,000 Pzas. CA*2",0
014BAMBUPLAP,Tapa plana c/agujero blanca vaso 10/12/16/20 oz compostable Caña Azúcar PQTE 50 Pzas. CA*2,0
